sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
240,1.486,0.479,20.542,0.726,3.082,0.861,0.446,8.708,11.454,3.049,1.496,0.453,0.861,0.632,0.478,0.345,0.264,5.777,1.509,10.267,4.230,0.595,3.509,18.753
241,1.069,0.388,20.893,0.667,2.620,0.765,0.350,8.521,14.057,3.110,1.280,0.395,0.715,0.896,0.316,0.260,0.223,4.157,1.951,8.139,5.028,0.517,3.275,20.409
242,1.840,0.542,23.056,0.565,2.877,0.618,0.365,7.130,14.154,3.147,0.780,0.324,0.421,1.410,0.189,0.214,0.146,3.329,2.149,7.837,2.862,0.432,4.161,21.451
243,1.288,0.445,21.285,0.915,2.965,0.969,0.430,8.446,13.520,3.321,1.269,0.430,0.692,0.780,0.236,0.237,0.281,5.016,1.526,8.299,3.981,0.507,2.837,20.324
244,1.290,0.427,22.303,0.594,2.545,0.715,0.357,8.521,14.325,3.118,0.910,0.371,0.452,1.080,0.192,0.214,0.175,4.180,1.521,7.173,3.368,0.692,3.473,22.003
245,2.798,0.619,25.677,0.853,4.565,0.764,0.534,7.095,18.039,3.322,1.339,0.322,0.622,1.332,0.261,0.214,0.169,3.235,1.747,5.846,3.179,0.342,2.351,14.777
256,2.433,0.499,23.014,0.817,5.086,0.772,0.779,8.040,14.191,3.978,1.211,0.385,0.403,1.071,0.211,0.280,0.241,3.551,1.135,8.777,3.110,0.419,4.223,15.373
257,1.446,0.476,20.926,1.206,2.974,0.927,0.426,8.612,14.584,4.710,1.309,0.394,0.702,0.977,0.271,0.258,0.223,4.472,1.603,8.449,3.652,0.466,3.422,17.518
259,1.544,0.451,19.003,1.234,3.790,0.949,0.477,9.230,9.943,5.110,1.974,0.382,0.982,0.504,0.372,0.304,0.226,5.346,1.219,10.829,3.128,0.257,4.516,18.229
260,1.919,0.549,22.048,0.963,5.593,0.896,0.571,7.365,13.194,4.365,1.738,0.375,1.686,0.966,0.470,0.259,0.250,3.432,1.699,7.732,3.103,0.465,3.552,16.812
261,1.385,0.421,22.455,0.714,2.901,0.709,0.407,8.287,13.684,3.006,1.676,0.426,0.903,0.839,0.399,0.243,0.207,4.545,1.809,8.009,4.112,0.237,3.212,19.415
263,1.737,0.430,20.511,0.529,3.094,0.697,0.400,8.491,11.984,3.332,0.776,0.386,0.334,0.792,0.201,0.249,0.249,4.753,1.519,9.574,3.354,0.462,4.019,22.126
265,2.384,0.495,23.589,0.772,3.578,0.670,0.465,7.765,16.904,3.400,1.488,0.320,1.049,1.245,0.538,0.198,0.179,2.969,2.253,7.029,2.195,0.457,3.347,16.709
